name,province,district,category,lat,lng,price_level,duration_min,tags,short_desc,history_tip,eat_tip,pro_tip
Cuba Bistro Cafe,Tunceli,Çemişgezek,food,39.357190,39.215570,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Çavkanîyên Mûnzûrê,Tunceli,Çemişgezek,historical,39.331425,39.056374,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Çemişgezek merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
MARÇİK RESTAURANT,Tunceli,Çemişgezek,food,39.129489,39.628198,1,75,"food,food_court,restaurant,point_of_interest,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Askireg Otel,Tunceli,Çemişgezek,food,39.409276,39.716035,1,75,"food,hotel,bar,lodging,restaurant,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Pertek Kalesi,Tunceli,Çemişgezek,historical,38.844350,39.271583,1,120,"historical,tourist_attraction,castle,historical_place,point_of_interest",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Çemişgezek merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
MUNZUR DOĞA OTELİ,Tunceli,Çemişgezek,lodging,39.104336,39.544648,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
The Geyik Dersim,Tunceli,Çemişgezek,food,39.188235,39.690830,1,75,"food,campground,athletic_field,sports_activity_location,lodging,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
15 Temmuz Şehitler Parkı,Tunceli,Çemişgezek,nature,39.078352,39.540052,1,120,"nature,state_park,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Çemişgezek çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Tunceli Müzesi,Tunceli,Çemişgezek,museum,39.104367,39.547246,1,120,"museum,point_of_interest,establishment",Kültürel içerik sunan müze durağı.,Bölgenin tarihsel katmanlarını yansıtır.,Müze sonrası merkezde yemek molası verilebilir.,Bilet ve ziyaret saatini kontrol et.
Örenönü Tabiat Parkı,Tunceli,Çemişgezek,nature,39.102062,39.604931,1,120,"nature,tourist_attraction,national_park,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Çemişgezek çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Gürgül Aile Çaybahçesi,Tunceli,Çemişgezek,food,39.070243,38.903678,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Tunceli Belediyesi Jara Golaceto Ve Parkı,Tunceli,Çemişgezek,nature,39.102385,39.554001,1,120,"nature,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Çemişgezek çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Munzur Gözeleri,Tunceli,Hozat,nature,39.331306,39.062479,1,120,"nature,park,city_park,lodging,sports_club",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Munzur Vadisi Milli Parkı,Tunceli,Hozat,nature,39.134988,39.494137,1,120,"nature,tourist_attraction,hiking_area,national_park,park",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Grand Şaroğlu Hotel,Tunceli,Hozat,lodging,39.104194,39.547070,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
Kutu Deresi Kpr.,Tunceli,Hozat,historical,39.191569,39.691280,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Hozat merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
SEYİT RIZA PARKI,Tunceli,Hozat,nature,39.105003,39.546723,1,120,"nature,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Zağge Restorant,Tunceli,Hozat,food,39.301549,39.777828,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Tunceli Kent Ormanı,Tunceli,Hozat,nature,39.100953,39.548618,1,120,"nature,national_park,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Zembul YÖRESEL Yöresel Yemek Lokantası-Kahvaltı -Kafe,Tunceli,Hozat,food,39.106825,39.546083,1,75,"food,restaurant,non_profit_organization,association_or_organization,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Marina Iskele Restoranı,Tunceli,Hozat,food,39.085677,39.543473,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Halikarnas et ve balık Restaurant,Tunceli,Hozat,food,39.087911,39.540032,1,75,"food,restaurant,kebab_shop,point_of_interest,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Pertek Kalesi,Tunceli,Hozat,historical,38.844350,39.271583,1,120,"historical,castle,tourist_attraction,historical_place,point_of_interest",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Hozat merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Tunceli Müzesi,Tunceli,Hozat,museum,39.104367,39.547246,1,120,"museum,point_of_interest,establishment",Kültürel içerik sunan müze durağı.,Bölgenin tarihsel katmanlarını yansıtır.,Müze sonrası merkezde yemek molası verilebilir.,Bilet ve ziyaret saatini kontrol et.
Örenönü Tabiat Parkı,Tunceli,Hozat,nature,39.102062,39.604931,1,120,"nature,tourist_attraction,national_park,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Duo Tırs'ın Yeri,Tunceli,Hozat,food,39.105304,39.547637,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Tunceli Belediyesi Jara Golaceto Ve Parkı,Tunceli,Hozat,nature,39.102385,39.554001,1,120,"nature,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Kuzine Restorant,Tunceli,Hozat,food,39.080695,39.537917,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
FERZAN RESTAURANT,Tunceli,Hozat,viewpoint,39.112169,39.536319,1,120,"viewpoint,live_music_venue,event_venue,point_of_interest,establishment,sunset",Şehir ve çevre manzarası sunan seyir noktası.,Bölge fotoğraf rotalarıyla öne çıkar.,Kısa mola için yakında kafe alternatifi olabilir.,Gün batımından önce konumlan.
Dereova şelalesi,Tunceli,Hozat,historical,39.262897,39.872841,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Hozat merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Cafe Amour CB,Tunceli,Hozat,cafe,39.079056,39.535276,1,75,"cafe,coffee_shop,food_store,food,local",Kahve ve kısa mola için tercih edilen nokta.,Semt yaşamının parçası olarak öne çıkar.,Kahve yanında yerel tatlıları dene.,Sabah saatlerinde daha sakin olabilir.
Uryan Hizir Sultan Hidir,Tunceli,Hozat,museum,38.941860,39.224298,1,120,"museum,point_of_interest,establishment",Kültürel içerik sunan müze durağı.,Bölgenin tarihsel katmanlarını yansıtır.,Müze sonrası merkezde yemek molası verilebilir.,Bilet ve ziyaret saatini kontrol et.
Verroz Yürüyüş Parkı,Tunceli,Hozat,nature,39.088998,39.538945,1,120,"nature,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Hozat çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Girlevik Şelalesi,Tunceli,Mazgirt,historical,39.586393,39.731310,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Mazgirt merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Munzur Gözeleri,Tunceli,Mazgirt,nature,39.331306,39.062479,1,120,"nature,park,city_park,lodging,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Mazgirt çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Munzur Vadisi Milli Parkı,Tunceli,Mazgirt,nature,39.134988,39.494137,1,120,"nature,tourist_attraction,national_park,hiking_area,park",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Mazgirt çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Grand Şaroğlu Hotel,Tunceli,Mazgirt,lodging,39.104194,39.547070,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
Kutu Deresi Kpr.,Tunceli,Mazgirt,historical,39.191569,39.691280,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Mazgirt merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
SEYİT RIZA PARKI,Tunceli,Mazgirt,nature,39.105003,39.546723,1,120,"nature,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Mazgirt çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Zağge Restorant,Tunceli,Mazgirt,food,39.301549,39.777828,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Karanlık Kanyon,Tunceli,Mazgirt,nature,39.310195,38.455353,1,120,"nature,nature_preserve,tourist_attraction,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Mazgirt çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Bağin kaplıcası,Tunceli,Mazgirt,historical,38.999050,39.894562,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Mazgirt merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Zembul YÖRESEL Yöresel Yemek Lokantası-Kahvaltı -Kafe,Tunceli,Mazgirt,food,39.106825,39.546083,1,75,"food,restaurant,non_profit_organization,association_or_organization,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Marina Iskele Restoranı,Tunceli,Mazgirt,food,39.085677,39.543473,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
MARÇİK RESTAURANT,Tunceli,Mazgirt,food,39.129489,39.628198,1,75,"food,food_court,restaurant,point_of_interest,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Göktepe Alabalık Restaurant,Tunceli,Mazgirt,food,38.939581,39.607147,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
cömert hotel,Tunceli,Mazgirt,lodging,39.104890,39.537532,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
Tunceli Müzesi,Tunceli,Mazgirt,museum,39.104367,39.547246,1,120,"museum,point_of_interest,establishment",Kültürel içerik sunan müze durağı.,Bölgenin tarihsel katmanlarını yansıtır.,Müze sonrası merkezde yemek molası verilebilir.,Bilet ve ziyaret saatini kontrol et.
Örenönü Tabiat Parkı,Tunceli,Mazgirt,nature,39.102062,39.604931,1,120,"nature,tourist_attraction,national_park,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Mazgirt çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Duo Tırs'ın Yeri,Tunceli,Mazgirt,food,39.105304,39.547637,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Kuzine Restorant,Tunceli,Mazgirt,food,39.080695,39.537917,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Dereova şelalesi,Tunceli,Mazgirt,historical,39.262897,39.872841,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Mazgirt merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Cafe Amour CB,Tunceli,Mazgirt,cafe,39.079056,39.535276,1,75,"cafe,coffee_shop,food_store,store,local",Kahve ve kısa mola için tercih edilen nokta.,Semt yaşamının parçası olarak öne çıkar.,Kahve yanında yerel tatlıları dene.,Sabah saatlerinde daha sakin olabilir.
Munzur Gözeleri,Tunceli,Merkez,nature,39.331306,39.062479,1,120,"nature,park,city_park,sports_club,lodging",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Munzur Vadisi Milli Parkı,Tunceli,Merkez,nature,39.134988,39.494137,1,120,"nature,hiking_area,tourist_attraction,sports_activity_location,national_park",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Grand Şaroğlu Hotel,Tunceli,Merkez,lodging,39.104194,39.547070,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
Kutu Deresi Kpr.,Tunceli,Merkez,historical,39.191569,39.691280,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Merkez merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Munzur Irmağı,Tunceli,Merkez,nature,39.165553,39.462184,1,120,"nature,river,natural_feature,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
SEYİT RIZA PARKI,Tunceli,Merkez,nature,39.105003,39.546723,1,120,"nature,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Karanlık Kanyon,Tunceli,Merkez,nature,39.310195,38.455353,1,120,"nature,nature_preserve,tourist_attraction,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Ekin kebap,Tunceli,Merkez,food,39.104901,39.548148,1,75,"food,kebab_shop,restaurant,point_of_interest,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Kanoğlu Et Balık Reataurant,Tunceli,Merkez,food,38.989316,39.500464,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Tunceli Kent Ormanı,Tunceli,Merkez,nature,39.100953,39.548618,1,120,"nature,national_park,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Zembul YÖRESEL Yöresel Yemek Lokantası-Kahvaltı -Kafe,Tunceli,Merkez,food,39.106825,39.546083,1,75,"food,restaurant,non_profit_organization,point_of_interest,association_or_organization,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Marina Iskele Restoranı,Tunceli,Merkez,food,39.085677,39.543473,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Halikarnas et ve balık Restaurant,Tunceli,Merkez,food,39.087911,39.540032,1,75,"food,restaurant,kebab_shop,point_of_interest,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Çavkanîyên Mûnzûrê,Tunceli,Merkez,historical,39.331425,39.056374,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Merkez merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Askireg Otel,Tunceli,Merkez,food,39.409276,39.716035,1,75,"food,hotel,lodging,bar,restaurant,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Halbori Gözeleri,Tunceli,Merkez,viewpoint,39.177722,39.461355,1,120,"viewpoint,picnic_ground,point_of_interest,establishment,sunset",Şehir ve çevre manzarası sunan seyir noktası.,Bölge fotoğraf rotalarıyla öne çıkar.,Kısa mola için yakında kafe alternatifi olabilir.,Gün batımından önce konumlan.
Pertek Kalesi,Tunceli,Merkez,historical,38.844350,39.271583,1,120,"historical,castle,historical_place,tourist_attraction,point_of_interest",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Merkez merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Reina Cafe,Tunceli,Merkez,cafe,39.105389,39.546861,1,75,"cafe,point_of_interest,food,establishment,local",Kahve ve kısa mola için tercih edilen nokta.,Semt yaşamının parçası olarak öne çıkar.,Kahve yanında yerel tatlıları dene.,Sabah saatlerinde daha sakin olabilir.
15 Temmuz Şehitler Parkı,Tunceli,Merkez,nature,39.078352,39.540052,1,120,"nature,state_park,park,point_of_interest,establishment",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Tunceli Müzesi,Tunceli,Merkez,museum,39.104367,39.547246,1,120,"museum,point_of_interest,establishment",Kültürel içerik sunan müze durağı.,Bölgenin tarihsel katmanlarını yansıtır.,Müze sonrası merkezde yemek molası verilebilir.,Bilet ve ziyaret saatini kontrol et.
Örenönü Tabiat Parkı,Tunceli,Merkez,nature,39.102062,39.604931,1,120,"nature,tourist_attraction,national_park,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Merkez çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Balkon Etiler Cafe & Restaurant Tunceli,Tunceli,Merkez,food,39.072851,39.532604,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Munzur Gözeleri,Tunceli,Nazımiye,nature,39.331306,39.062479,1,120,"nature,park,city_park,sports_club,lodging",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Nazımiye çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Munzur Vadisi Milli Parkı,Tunceli,Nazımiye,nature,39.134988,39.494137,1,120,"nature,tourist_attraction,hiking_area,national_park,park",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Nazımiye çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Grand Şaroğlu Hotel,Tunceli,Nazımiye,lodging,39.104194,39.547070,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
